# Slime Simulator State Dump
# Width: 640, Height: 480
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00140000 000F0000 06E
00136000 000F0000 141
0013D000 000E6000 2E6
00136000 000E6000 231
0013C000 000F0000 0C7
00136000 000E8000 1F2
00140000 000F0000 049
00138000 000F1000 0F6
00136000 000E6000 250
00136000 000F0000 104
00136000 000E6000 26C
00136000 000F0000 13C
0013C000 000E6000 2DC
00136000 000E6000 21C
00140000 000F0000 09C
00136000 000F0000 19C
00140000 000E6000 39C
00140000 000E6000 39C
00140000 000E6000 39C
00140000 000E6000 39D
00140000 000E6000 39E
00140000 000E6000 3A1
00141000 000E7000 3A6
00141000 000E8000 3B0
00141000 000EA000 3C5
00140000 000EE000 3EF
00140000 000F0000 042
00139000 000F0000 0E9
00136000 000E6000 236
0013B000 000F1000 0D0
00136000 000E6000 204
00140000 000F0000 06D
00136000 000F0000 13F
0013D000 000E6000 2E2
00136000 000E6000 229
0013E000 000F0000 0B6
00136000 000EB000 1D0
00140000 000F0000 005
00140000 000F0000 06F
00136000 000F0000 143
0013D000 000E6000 2EB
00136000 000E6000 23B
0013A000 000F1000 0DA
00136000 000E6000 219
00140000 000F0000 097
00136000 000F0000 192
00140000 000E6000 388
00140000 000E6000 374
00140000 000E6000 34D
0013F000 000E6000 2FE
00136000 000E6000 260
00136000 000F0000 124
00137000 000E6000 2AC
00136000 000ED000 1BD
00140000 000EC000 3DE
00140000 000F0000 020
00140000 000F1000 0A4
00136000 000EF000 1AD
00140000 000E9000 3BE
00141000 000EC000 3E0
00140000 000F0000 024
0013F000 000F0000 0AC
00136000 000ED000 1BD
00140000 000EC000 3DF
00140000 000F0000 023
0013F000 000F0000 0AA
00136000 000EE000 1B9
00141000 000EB000 3D7
00140000 000F0000 013
00140000 000F0000 08B
00136000 000F0000 17B
00140000 000E6000 35B
00140000 000E6000 31B
00136000 000E6000 29B
00136000 000F0000 19B
00140000 000E6000 39A
00140000 000E6000 399
00140000 000E6000 396
00140000 000E6000 391
00140000 000E6000 387
00140000 000E6000 373
00140000 000E6000 34A
0013F000 000E6000 2F9
00136000 000E6000 256
00136000 000F0000 110
00136000 000E6000 284
00136000 000F0000 16C
00140000 000E6000 33D
0013C000 000E6000 2DE
00136000 000E6000 220
00140000 000F1000 0A5
00136000 000EF000 1AE
00140000 000E9000 3C0
00141000 000ED000 3E4
00140000 000F0000 02C
0013D000 000F1000 0BC
00136000 000EA000 1DD
00140000 000F0000 01E
00140000 000F0000 0A1
00136000 000EF000 1A7
00140000 000E8000 3B3
00140000 000EA000 3CA
00141000 000EF000 3F8
00140000 000F0000 054
00136000 000F0000 10C
00136000 000E6000 27C
00136000 000F0000 15D
00140000 000E6000 31F
00136000 000E6000 2A2
00136000 000EF000 1A8
00140000 000E8000 3B5
00141000 000EB000 3CE
00141000 000F0000 001
00140000 000F0000 066
00136000 000F0000 131
0013A000 000E6000 2C7
00136000 000E8000 1F3
00140000 000F0000 04A
00137000 000F1000 0F8
00136000 000E6000 255
00136000 000F0000 10F
00136000 000E6000 283
00136000 000F0000 16A
00140000 000E6000 339
0013B000 000E6000 2D7
00136000 000E6000 212
00140000 000F0000 089
00136000 000F0000 177
00140000 000E6000 352
00140000 000E6000 309
00136000 000E6000 276
00136000 000F0000 151
00140000 000E6000 307
00136000 000E6000 273
00136000 000F0000 14A
0013F000 000E6000 2F9
00136000 000E6000 257
00136000 000F0000 113
00136000 000E6000 28A
00136000 000F0000 179
00140000 000E6000 356
00140000 000E6000 311
00136000 000E6000 287
00136000 000F0000 173
00140000 000E6000 34B
0013F000 000E6000 2FA
00136000 000E6000 259
00136000 000F0000 116
00136000 000E6000 290
00136000 000F0000 184
00140000 000E6000 36C
00140000 000E6000 33C
0013C000 000E6000 2DD
00136000 000E6000 21F
00140000 000F0000 0A3
00136000 000EF000 1AA
00141000 000E8000 3B9
00141000 000EB000 3D7
00140000 000F0000 013
00140000 000F0000 08A
00136000 000F0000 179
00140000 000E6000 356
00140000 000E6000 311
00136000 000E6000 286
00136000 000F0000 171
00140000 000E6000 347
0013E000 000E6000 2F2
00136000 000E6000 249
00138000 000F1000 0F6
00136000 000E6000 250
00136000 000F0000 105
00136000 000E6000 26F
00136000 000F0000 142
0013D000 000E6000 2E9
00136000 000E6000 237
0013B000 000F0000 0D2
00136000 000E6000 208
00140000 000F0000 075
00136000 000F0000 14F
00140000 000E6000 303
00136000 000E6000 26B
00136000 000F0000 13A
0013C000 000E6000 2D9
00136000 000E6000 216
00140000 000F0000 091
00136000 000F0000 186
00140000 000E6000 371
00140000 000E6000 346
0013E000 000E6000 2F1
00136000 000E6000 246
00138000 000F0000 0F0
00136000 000E6000 244
